date,price
413,2635
414,2665
417,2760
418,2740
419,2785
420,2765
421,2715
424,2760
425,2785
426,2840
427,2910
428,2875
431,2945
432,3025
433,3035
438,2960
439,3015
440,3080
441,3020
442,3025
445,3020
446,3035
447,3060
448,3085
449,3090
452,2900
453,2915
454,2975
455,2975
456,2985
459,2995
460,2980
461,2935
462,2925
466,2990
467,3195
468,3180
469,3145
470,3430
473,3525
474,3495
475,3425
476,3460
477,3415
480,3430
481,3410
482,3595
483,3580
484,3515
487,3520
488,3605
489,3555
490,3640
491,3650
494,3945
495,3825
496,3880
497,3840
498,3810
501,3805
502,3820
503,3800
504,3760
505,3720
508,3635
509,3670
510,3650
511,3665
512,3660
515,3640
516,3635
517,3610
518,3740
519,3720
522,3710
523,3745
524,3735
525,3735
526,3645
529,3375
530,3495
531,3610
536,3865
537,3850
538,3840
539,3870
540,3830
543,3795
546,3870
547,3810
550,3880
551,3930
552,3980
553,3895
554,3800
558,3815
559,3800
560,3850
561,3750
564,3720
565,3705
566,3740
567,3710
568,3730
571,3790
572,3815
573,3785
574,3775
575,3750
578,3745
579,3725
580,3645
581,3610
582,3530
585,3625
586,3600
587,3615
588,3565
589,3475
592,3415
593,3345
594,3415
595,3390
596,3515
599,3530
600,3590
601,3565
602,3535
603,3580
606,3630
607,3670
608,3690
609,3715
610,3685
613,3630
614,3770
615,3755
616,3810
617,3750
620,3755
621,3750
622,3750
623,3725
624,3750
627,3730
628,3700
629,3680
630,3650
631,3595
634,3590
635,3595
636,3750
637,3770
638,3805
642,3810
643,3820
644,4050
645,4155
648,4245
649,4135
650,4230
651,4240
652,4240
655,4250
656,4410
657,4450
658,4420
659,4390
662,4455
663,4475
672,4580
